ID	pVal_enrich	subontology
GO:0000049	9.99000999000999e-4	MF
GO:0000146	9.99000999000999e-4	MF
GO:0000149	9.99000999000999e-4	MF
GO:0000217	9.99000999000999e-4	MF
GO:0000400	9.99000999000999e-4	MF
GO:0000979	0.002997002997002997	MF
GO:0000993	9.99000999000999e-4	MF
GO:0001085	9.99000999000999e-4	MF
GO:0001098	9.99000999000999e-4	MF
GO:0001099	9.99000999000999e-4	MF
GO:0001217	0.026973026973026972	MF
GO:0001221	9.99000999000999e-4	MF
GO:0001227	0.026973026973026972	MF
GO:0001540	9.99000999000999e-4	MF
GO:0001653	9.99000999000999e-4	MF
GO:0001786	9.99000999000999e-4	MF
GO:0002020	9.99000999000999e-4	MF
GO:0002039	9.99000999000999e-4	MF
GO:0003678	0.03696303696303696	MF
GO:0003684	0.001998001998001998	MF
GO:0003697	0.04395604395604396	MF
GO:0003707	0.002997002997002997	MF
GO:0003714	0.02197802197802198	MF
GO:0003724	0.026973026973026972	MF
GO:0003725	9.99000999000999e-4	MF
GO:0003727	9.99000999000999e-4	MF
GO:0003730	9.99000999000999e-4	MF
GO:0003743	9.99000999000999e-4	MF
GO:0003746	9.99000999000999e-4	MF
GO:0003774	0.001998001998001998	MF
GO:0003887	9.99000999000999e-4	MF
GO:0004252	9.99000999000999e-4	MF
GO:0004364	9.99000999000999e-4	MF
GO:0004402	9.99000999000999e-4	MF
GO:0004407	9.99000999000999e-4	MF
GO:0004497	9.99000999000999e-4	MF
GO:0004519	0.003996003996003996	MF
GO:0004520	9.99000999000999e-4	MF
GO:0004521	9.99000999000999e-4	MF
GO:0004527	9.99000999000999e-4	MF
GO:0004529	9.99000999000999e-4	MF
GO:0004536	9.99000999000999e-4	MF
GO:0004540	9.99000999000999e-4	MF
GO:0004553	9.99000999000999e-4	MF
GO:0004601	9.99000999000999e-4	MF
GO:0004620	9.99000999000999e-4	MF
GO:0004675	9.99000999000999e-4	MF
GO:0004715	0.001998001998001998	MF
GO:0004722	9.99000999000999e-4	MF
GO:0004812	9.99000999000999e-4	MF
GO:0004860	0.002997002997002997	MF
GO:0004867	9.99000999000999e-4	MF
GO:0004879	0.030969030969030968	MF
GO:0004890	9.99000999000999e-4	MF
GO:0004896	9.99000999000999e-4	MF
GO:0004984	9.99000999000999e-4	MF
GO:0005003	0.03296703296703297	MF
GO:0005004	9.99000999000999e-4	MF
GO:0005005	0.002997002997002997	MF
GO:0005024	9.99000999000999e-4	MF
GO:0005085	9.99000999000999e-4	MF
GO:0005088	9.99000999000999e-4	MF
GO:0005104	9.99000999000999e-4	MF
GO:0005109	9.99000999000999e-4	MF
GO:0005178	9.99000999000999e-4	MF
GO:0005184	9.99000999000999e-4	MF
GO:0005201	9.99000999000999e-4	MF
GO:0005212	9.99000999000999e-4	MF
GO:0005230	0.002997002997002997	MF
GO:0005245	9.99000999000999e-4	MF
GO:0005249	9.99000999000999e-4	MF
GO:0005253	0.001998001998001998	MF
GO:0005254	9.99000999000999e-4	MF
GO:0005267	9.99000999000999e-4	MF
GO:0005319	9.99000999000999e-4	MF
GO:0005342	9.99000999000999e-4	MF
GO:0005344	9.99000999000999e-4	MF
GO:0005496	9.99000999000999e-4	MF
GO:0005501	9.99000999000999e-4	MF
GO:0005507	9.99000999000999e-4	MF
GO:0005518	0.03196803196803197	MF
GO:0005520	9.99000999000999e-4	MF
GO:0005544	9.99000999000999e-4	MF
GO:0005546	9.99000999000999e-4	MF
GO:0005549	9.99000999000999e-4	MF
GO:0008013	9.99000999000999e-4	MF
GO:0008022	9.99000999000999e-4	MF
GO:0008080	9.99000999000999e-4	MF
GO:0008081	9.99000999000999e-4	MF
GO:0008135	9.99000999000999e-4	MF
GO:0008143	9.99000999000999e-4	MF
GO:0008146	9.99000999000999e-4	MF
GO:0008170	0.002997002997002997	MF
GO:0008171	9.99000999000999e-4	MF
GO:0008173	9.99000999000999e-4	MF
GO:0008194	0.03696303696303696	MF
GO:0008236	9.99000999000999e-4	MF
GO:0008237	9.99000999000999e-4	MF
GO:0008238	9.99000999000999e-4	MF
GO:0008276	0.003996003996003996	MF
GO:0008307	9.99000999000999e-4	MF
GO:0008373	9.99000999000999e-4	MF
GO:0008375	9.99000999000999e-4	MF
GO:0008409	9.99000999000999e-4	MF
GO:0008514	9.99000999000999e-4	MF
GO:0008528	9.99000999000999e-4	MF
GO:0009055	9.99000999000999e-4	MF
GO:0009678	9.99000999000999e-4	MF
GO:0009881	9.99000999000999e-4	MF
GO:0015036	9.99000999000999e-4	MF
GO:0015078	9.99000999000999e-4	MF
GO:0015081	9.99000999000999e-4	MF
GO:0015103	0.01998001998001998	MF
GO:0015108	9.99000999000999e-4	MF
GO:0015291	0.002997002997002997	MF
GO:0015293	9.99000999000999e-4	MF
GO:0015297	9.99000999000999e-4	MF
GO:0015298	9.99000999000999e-4	MF
GO:0015399	9.99000999000999e-4	MF
GO:0015459	9.99000999000999e-4	MF
GO:0015464	9.99000999000999e-4	MF
GO:0015491	9.99000999000999e-4	MF
GO:0015662	9.99000999000999e-4	MF
GO:0016209	9.99000999000999e-4	MF
GO:0016247	9.99000999000999e-4	MF
GO:0016278	9.99000999000999e-4	MF
GO:0016279	9.99000999000999e-4	MF
GO:0016298	9.99000999000999e-4	MF
GO:0016407	0.001998001998001998	MF
GO:0016410	0.03196803196803197	MF
GO:0016538	9.99000999000999e-4	MF
GO:0016614	9.99000999000999e-4	MF
GO:0016616	9.99000999000999e-4	MF
GO:0016651	9.99000999000999e-4	MF
GO:0016667	9.99000999000999e-4	MF
GO:0016684	9.99000999000999e-4	MF
GO:0016701	9.99000999000999e-4	MF
GO:0016702	9.99000999000999e-4	MF
GO:0016706	9.99000999000999e-4	MF
GO:0016763	9.99000999000999e-4	MF
GO:0016765	9.99000999000999e-4	MF
GO:0016769	9.99000999000999e-4	MF
GO:0016776	9.99000999000999e-4	MF
GO:0016779	0.03396603396603397	MF
GO:0016782	9.99000999000999e-4	MF
GO:0016790	9.99000999000999e-4	MF
GO:0016796	9.99000999000999e-4	MF
GO:0016798	9.99000999000999e-4	MF
GO:0016811	9.99000999000999e-4	MF
GO:0016814	9.99000999000999e-4	MF
GO:0016825	9.99000999000999e-4	MF
GO:0016830	9.99000999000999e-4	MF
GO:0016831	9.99000999000999e-4	MF
GO:0016835	0.001998001998001998	MF
GO:0016836	9.99000999000999e-4	MF
GO:0016840	9.99000999000999e-4	MF
GO:0016860	9.99000999000999e-4	MF
GO:0016874	0.029970029970029972	MF
GO:0016875	9.99000999000999e-4	MF
GO:0016877	9.99000999000999e-4	MF
GO:0016879	9.99000999000999e-4	MF
GO:0016891	9.99000999000999e-4	MF
GO:0016893	9.99000999000999e-4	MF
GO:0016895	9.99000999000999e-4	MF
GO:0016917	9.99000999000999e-4	MF
GO:0016918	9.99000999000999e-4	MF
GO:0016922	9.99000999000999e-4	MF
GO:0017016	0.002997002997002997	MF
GO:0017022	9.99000999000999e-4	MF
GO:0017048	9.99000999000999e-4	MF
GO:0017069	9.99000999000999e-4	MF
GO:0017124	9.99000999000999e-4	MF
GO:0017134	9.99000999000999e-4	MF
GO:0017136	9.99000999000999e-4	MF
GO:0017137	9.99000999000999e-4	MF
GO:0017147	9.99000999000999e-4	MF
GO:0017171	9.99000999000999e-4	MF
GO:0018024	9.99000999000999e-4	MF
GO:0019003	0.001998001998001998	MF
GO:0019205	9.99000999000999e-4	MF
GO:0019208	0.001998001998001998	MF
GO:0019209	0.002997002997002997	MF
GO:0019210	0.002997002997002997	MF
GO:0019212	9.99000999000999e-4	MF
GO:0019213	9.99000999000999e-4	MF
GO:0019239	9.99000999000999e-4	MF
GO:0019825	9.99000999000999e-4	MF
GO:0019829	9.99000999000999e-4	MF
GO:0019840	9.99000999000999e-4	MF
GO:0019842	0.001998001998001998	MF
GO:0019843	9.99000999000999e-4	MF
GO:0019888	9.99000999000999e-4	MF
GO:0019955	0.002997002997002997	MF
GO:0022824	9.99000999000999e-4	MF
GO:0022835	9.99000999000999e-4	MF
GO:0022851	9.99000999000999e-4	MF
GO:0030145	9.99000999000999e-4	MF
GO:0030170	9.99000999000999e-4	MF
GO:0030215	9.99000999000999e-4	MF
GO:0030246	0.03496503496503497	MF
GO:0030276	9.99000999000999e-4	MF
GO:0030295	0.002997002997002997	MF
GO:0030374	9.99000999000999e-4	MF
GO:0030551	9.99000999000999e-4	MF
GO:0030552	9.99000999000999e-4	MF
GO:0030594	0.02197802197802198	MF
GO:0030674	0.024975024975024976	MF
GO:0031072	0.002997002997002997	MF
GO:0031078	9.99000999000999e-4	MF
GO:0031267	0.002997002997002997	MF
GO:0031720	9.99000999000999e-4	MF
GO:0032041	9.99000999000999e-4	MF
GO:0032182	0.03596403596403597	MF
GO:0032451	9.99000999000999e-4	MF
GO:0032452	9.99000999000999e-4	MF
GO:0033293	0.002997002997002997	MF
GO:0033558	9.99000999000999e-4	MF
GO:0034061	9.99000999000999e-4	MF
GO:0034212	9.99000999000999e-4	MF
GO:0034713	9.99000999000999e-4	MF
GO:0034979	9.99000999000999e-4	MF
GO:0035064	9.99000999000999e-4	MF
GO:0035198	9.99000999000999e-4	MF
GO:0035257	9.99000999000999e-4	MF
GO:0035258	9.99000999000999e-4	MF
GO:0036002	9.99000999000999e-4	MF
GO:0038191	9.99000999000999e-4	MF
GO:0042054	0.003996003996003996	MF
GO:0042056	9.99000999000999e-4	MF
GO:0042162	9.99000999000999e-4	MF
GO:0042169	9.99000999000999e-4	MF
GO:0042277	0.03396603396603397	MF
GO:0042393	0.001998001998001998	MF
GO:0042562	9.99000999000999e-4	MF
GO:0042625	9.99000999000999e-4	MF
GO:0042626	9.99000999000999e-4	MF
GO:0042805	9.99000999000999e-4	MF
GO:0042813	9.99000999000999e-4	MF
GO:0042826	9.99000999000999e-4	MF
GO:0043022	9.99000999000999e-4	MF
GO:0043130	0.003996003996003996	MF
GO:0043138	9.99000999000999e-4	MF
GO:0043175	9.99000999000999e-4	MF
GO:0043178	9.99000999000999e-4	MF
GO:0043236	9.99000999000999e-4	MF
GO:0043425	9.99000999000999e-4	MF
GO:0043621	9.99000999000999e-4	MF
GO:0044183	9.99000999000999e-4	MF
GO:0044325	9.99000999000999e-4	MF
GO:0044548	9.99000999000999e-4	MF
GO:0045182	0.001998001998001998	MF
GO:0045499	9.99000999000999e-4	MF
GO:0046332	9.99000999000999e-4	MF
GO:0046943	9.99000999000999e-4	MF
GO:0047485	9.99000999000999e-4	MF
GO:0048029	9.99000999000999e-4	MF
GO:0048306	9.99000999000999e-4	MF
GO:0050660	9.99000999000999e-4	MF
GO:0050661	9.99000999000999e-4	MF
GO:0050840	0.001998001998001998	MF
GO:0051018	9.99000999000999e-4	MF
GO:0051020	0.01898101898101898	MF
GO:0051087	9.99000999000999e-4	MF
GO:0051213	9.99000999000999e-4	MF
GO:0051219	9.99000999000999e-4	MF
GO:0051287	9.99000999000999e-4	MF
GO:0051371	9.99000999000999e-4	MF
GO:0051393	9.99000999000999e-4	MF
GO:0051428	9.99000999000999e-4	MF
GO:0051536	9.99000999000999e-4	MF
GO:0051537	9.99000999000999e-4	MF
GO:0051540	9.99000999000999e-4	MF
GO:0051787	9.99000999000999e-4	MF
GO:0052689	9.99000999000999e-4	MF
GO:0060090	0.03196803196803197	MF
GO:0060590	9.99000999000999e-4	MF
GO:0061630	0.002997002997002997	MF
GO:0061659	0.002997002997002997	MF
GO:0061733	9.99000999000999e-4	MF
GO:0061980	0.03196803196803197	MF
GO:0070001	9.99000999000999e-4	MF
GO:0070063	9.99000999000999e-4	MF
GO:0070279	9.99000999000999e-4	MF
GO:0070491	0.001998001998001998	MF
GO:0070717	9.99000999000999e-4	MF
GO:0070888	9.99000999000999e-4	MF
GO:0071813	9.99000999000999e-4	MF
GO:0071814	9.99000999000999e-4	MF
GO:0072341	9.99000999000999e-4	MF
GO:0072509	9.99000999000999e-4	MF
GO:0090079	0.001998001998001998	MF
GO:0098531	0.030969030969030968	MF
GO:0098631	9.99000999000999e-4	MF
GO:0098960	0.02197802197802198	MF
GO:0099094	9.99000999000999e-4	MF
GO:0099095	9.99000999000999e-4	MF
GO:0099106	9.99000999000999e-4	MF
GO:0099529	9.99000999000999e-4	MF
GO:0140030	9.99000999000999e-4	MF
GO:0140034	9.99000999000999e-4	MF
GO:0140101	9.99000999000999e-4	MF
GO:0140142	9.99000999000999e-4	MF
GO:0140375	9.99000999000999e-4	MF
GO:0140457	9.99000999000999e-4	MF
GO:1901981	0.030969030969030968	MF
GO:1902936	9.99000999000999e-4	MF
GO:1904315	9.99000999000999e-4	MF
GO:1990782	9.99000999000999e-4	MF
GO:1990841	9.99000999000999e-4	MF
